name,xyUTM
Манастир Св. Јован Бигорски,34T 467360 4607600
Шарена џамија во Тетово,34T 497247 4650410
Камени кукли - Куклица,34T 587000 4661908
Манастир Св. Јоаким Осоговски,34T 612448 4673837
Плаошник - Охрид,34T 482473 4551293
Манастир Св. Наум, 34T 478147 4529230
Преспанско Езеро,34T 502808 4527657
Марков Манастир,34T 533848 4638631
Мyзеј на македонската борба,34T 535866 4649651
Попова Шапка,34T 490064 4651356
Маврово,34T 477795 4610952
Стоби,34T 581312 4600459
Галичник,34T 471085 4604777
Милениумски крст Водно,34T 532685 4645996
Смоларски Водопад,34T 658842 4581048
Колешински Водопад,34T 651120 4581253
Беровско Езеро ,34T 658669 4614782
Хераклеа,34T 528800 4540044
Вевчани,34T 465900 4565511
Осоговски Манастир,34T 612448 4673837
Матка,34T 524869 4643158
Пелистер,34T 515508 4539139
Залив на коските - Охрид,34T 483015 4538129
Пешна - Македонски брод,34T 520828 4599167
Пониква - Кочани,34T 612022 4654393
Козјак,34T 576507 4684643
Мечкин Камен Крушево,34T 519515 4579487
Могила на непобедените во Прилеп,34T 546402 4576022
Маркови кули - Прилеп,34T 545038 4579039
Дојранско езеро,34T 646735 4562436
Негорски бањи,34T 625033 4558977
Катланово,34T 556681 4638899
Св. Јован Канео,34T 482256 4551110
Камен мост Скопје,34T 535868 4649533
Скопско Кале ,34T 535976 4649867
Стара скопска чаршија,34T 536187 4649952
Широк сокак Битола,34T 528162 4542030
Манастир Зрзе Прилеп,34T 528501 4596696
Езеро Младост Велес,34T 563210 4624921
Градски музеј Неготино,34T 590388 4592861
Саат кула Кратово,34T 597742 4659211
Китино кале - Кичево,34T 497172 4595683
